,topic,page_num,post_num,text,join_date,post_date,num_likes,pred_label,true_label
14,Adidas owning 5.10,1,0,is stealth rubber still being used and is it still as sticky as before?,Jun 2017,Nov 21 2019,0,1,
15,Adidas owning 5.10,1,1,adidas has owned 5.10 since 2011~ longer than most have been climbing.,Aug 2019,Nov 21 2019,22,1,1.0
16,Adidas owning 5.10,1,2,i think overwhelmingly~ the change has hurt the brand,Jul 2017,Nov 21 2019,7,0,0.0
17,Adidas owning 5.10,1,2,shoes that people like are discontinued,Jul 2017,Nov 21 2019,7,1,0.0
18,Adidas owning 5.10,1,2,sizes can vary between manufacturing runs,Jul 2017,Nov 21 2019,7,0,0.0
19,Adidas owning 5.10,1,2,new shoe designs underwhelming and under-performing compared to previously designed shoes,Jul 2017,Nov 21 2019,7,1,0.0
20,Adidas owning 5.10,1,2,people are not sure about the rubber~ if its changed or not.  the one big positive is they firesale them quite frequently.,Jul 2017,Nov 21 2019,7,0,
21,Adidas owning 5.10,1,3,meh,Jan 2017,Nov 21 2019,12,0,0.0
22,Adidas owning 5.10,1,3,that may have been when there was a transaction but the major changes~ like closing the american production facilities and moving production to asia started happening more recently.,Jan 2017,Nov 21 2019,12,1,
23,Adidas owning 5.10,1,4,"i dunno about the rubber~ but i have some moccs and while i like the fit they are already fraying in the ""leather"" around the edge after about 15-20 climbing days.",Nov 2018,Nov 21 2019,0,2,2.0
24,Adidas owning 5.10,1,5,i wore guide tennis before and after adidas took over~ and have noticed a huge decline in quality since the takeover,Oct 2008,Nov 21 2019,7,0,0.0
25,Adidas owning 5.10,1,5,whatever adidas uses to glue the rubber to the bottom of the shoe started peeling off almost immediately~ and pretty soon the entire front end of the rubber becomes unglued and hangs there like a reverse flip-flop,Oct 2008,Nov 21 2019,7,0,0.0
26,Adidas owning 5.10,1,5,this happened to two pairs in a row,Oct 2008,Nov 21 2019,7,0,0.0
27,Adidas owning 5.10,1,5,after that~ i switched to sportiva approach shoes~ which i've been happy with.,Oct 2008,Nov 21 2019,7,2,
28,Adidas owning 5.10,1,6,big issue with sizing changes and durability occurred when they moved production to asia,Sep 2019,Nov 21 2019,2,0,0.0
29,Adidas owning 5.10,1,6,they seem to quickly fall apart and wear under normal use now.,Sep 2019,Nov 21 2019,2,1,0.0
30,Adidas owning 5.10,1,7,same story here with approach shoes,Mar 2016,Nov 21 2019,4,1,1.0
31,Adidas owning 5.10,1,8,#fakenews,Oct 2019,Nov 21 2019,1,1,1.0
32,Adidas owning 5.10,1,9,sizing from adidas is a huge issue - if i find a pair that fits me in a store~ maybe i'll buy them~ but maybe not~ because i'll never be able to get a second pair of the same shoe~ back to the starting line of finding a pair of shoes i like,Apr 2007,Nov 21 2019,4,1,0.0
33,Adidas owning 5.10,1,9,certainly will never order another pair again~ as there's no telling what actual size will come in the mail~,Apr 2007,Nov 21 2019,4,1,0.0
34,Adidas owning 5.10,1,9,that includes approach shoes,Apr 2007,Nov 21 2019,4,1,1.0
35,Adidas owning 5.10,1,9,it's worth remention that a bunch of five.ten employees went and started the company unparallel recently,Apr 2007,Nov 21 2019,4,1,1.0
36,Adidas owning 5.10,1,9,i had one pair until they were stolen~ and i was super impressed with the quality and the rubber,Apr 2007,Nov 21 2019,4,2,2.0
37,Adidas owning 5.10,1,9,i'll buy those again.,Apr 2007,Nov 21 2019,4,2,2.0
38,Adidas owning 5.10,1,10,i never had the american made shoes~ but the adidas 5.10 shoes i have tried have been less than impressive in terms of quality compared to the italian brands.,Oct 2016,Nov 21 2019,0,0,
39,Adidas owning 5.10,1,11,my own previous snarkiness aside~ i’ve experienced and observed more sportiva quality issues than any other brand,Aug 2019,Nov 21 2019,4,0,0.0
40,Adidas owning 5.10,1,11,i haven’t bought a new pair of hiangles in a couple years~ but i’ve never had 5.10 issues myself.,Aug 2019,Nov 21 2019,4,2,2.0
41,Adidas owning 5.10,1,12,yeah i would say of the major brands~ the biggest qc issues have been evolv and la sportiva,Jul 2014,Nov 21 2019,0,0,0.0
42,Adidas owning 5.10,1,12,tc pro delams~ miura toe blowouts in 2 months...they’re pretty infamous for it,Jul 2014,Nov 21 2019,0,0,0.0
43,Adidas owning 5.10,1,12,the five tens i’ve owned have all been top notch in construction,Jul 2014,Nov 21 2019,0,2,2.0
44,Adidas owning 5.10,1,12,only owned one pair of scarpas but they’ve impressed me~ even though they don’t fit my feet that great.,Jul 2014,Nov 21 2019,0,2,2.0
45,Adidas owning 5.10,1,13,same here,Jul 2019,Nov 21 2019,1,1,1.0
46,Adidas owning 5.10,1,13,i haven't been climbing long enough to have used 'american' 5.10~ but after being disappointed with the adidas pink anasazi i bought the unparallel up lace and i've been using them for maybe 6 months or so,Jul 2019,Nov 21 2019,1,0,0.0
47,Adidas owning 5.10,1,13,i'll probably buy another pair soon too~ as my current ones are getting a bit too comfy to the detriment of performance.,Jul 2019,Nov 21 2019,1,0,0.0
48,Adidas owning 5.10,1,14,i’ve been using 5.10 since they started and during the transition to adidas,Apr 2012,Nov 22 2019,2,1,1.0
49,Adidas owning 5.10,1,14,i recently bought a pair of grandstones and have to say they are the best built pair of shoes i’ve ever bought from them~ very high quality build,Apr 2012,Nov 22 2019,2,2,2.0
50,Adidas owning 5.10,1,14,and btw~ they are still using c4 the same sticky rubber,Apr 2012,Nov 22 2019,2,1,1.0
51,Adidas owning 5.10,1,15,i have some guide tennies from before and after the factory shut down (seemingly where the issues started~ not the change of ownership),Sep 2013,Nov 22 2019,3,0,0.0
52,Adidas owning 5.10,1,15,the ones before the shut down are older~ more used and..,Sep 2013,Nov 22 2019,3,0,0.0
53,Adidas owning 5.10,1,15,in significantly better condition,Sep 2013,Nov 22 2019,3,2,2.0
54,Adidas owning 5.10,1,15,the ones purchased almost a year later are already all but useless with the bottom rubber almost completely detached,Sep 2013,Nov 22 2019,3,0,0.0
55,Adidas owning 5.10,1,15,i will say i talked to an adidas rep who said they tried pretty hard to change the c4 rubber (trying to make it more eco friendly) but could not do it,Sep 2013,Nov 22 2019,3,0,0.0
56,Adidas owning 5.10,1,15,so supposedly it is the same rubber.,Sep 2013,Nov 22 2019,3,1,
57,Adidas owning 5.10,1,16,fwiw~ i love my 5.10 quantum lace-ups and the stealth rubber that they used,Jan 2019,Nov 22 2019,0,1,2.0
58,Adidas owning 5.10,1,16,it lasted me about 6 months and i am now about to send them in to be resoled,Jan 2019,Nov 22 2019,0,1,1.0
59,Adidas owning 5.10,1,16,however~ i have found that 5.10/adidas is absolute dog shit when it comes to customer service,Jan 2019,Nov 22 2019,0,0,0.0
60,Adidas owning 5.10,1,16,it has taken them 2-3 days to even ship shoes that i have bought through their super sale and~ even then~ shipping is slow (always more than a week from shipping date in my experience),Jan 2019,Nov 22 2019,0,1,0.0
61,Adidas owning 5.10,1,16,additionally~ i ordered a couple pairs of team vxis which just didn't fit my foot well and~ despite them having received the shoes~ i have not heard anything regarding my refund,Jan 2019,Nov 22 2019,0,0,0.0
62,Adidas owning 5.10,1,16,bottom line: love the shoes~ not the customer service,Jan 2019,Nov 22 2019,0,1,2.0
63,Adidas owning 5.10,1,16,buy em from literally any retailer other than adidas themselves.,Jan 2019,Nov 22 2019,0,1,
64,Adidas owning 5.10,1,17,i think any current 5.10 issues were also present before adidas bought them~ sizing and quality included,Jan 2012,Nov 22 2019,2,0,0.0
65,Adidas owning 5.10,1,17,if anything they may have improved in some ways with the support of the larger company,Jan 2012,Nov 22 2019,2,2,2.0
66,Adidas owning 5.10,1,17,haven't heard any current complaints regarding a drop in the rubber quality,Jan 2012,Nov 22 2019,2,0,2.0
67,Adidas owning 5.10,1,17,for every 5.10 complaint i've heard regarding delaminating~ i've heard one for sportiva as well,Jan 2012,Nov 22 2019,2,1,1.0
68,Adidas owning 5.10,1,18,5.10 quality was always inferior to the european shoe makers,May 2015,Nov 22 2019,2,0,0.0
69,Adidas owning 5.10,1,18,it is the dodge charger of climbing shoe companies and always was,May 2015,Nov 22 2019,2,1,0.0
70,Adidas owning 5.10,1,18,adidas buying them was like fiat buying chrysler - sos.,May 2015,Nov 22 2019,2,0,0.0
71,Adidas owning 5.10,1,19,delam issues are not always the manufacturers fault,Apr 2012,Nov 22 2019,3,1,1.0
72,Adidas owning 5.10,1,19,shoes get abused~ they get thrown in the back of a car and sit it the hot sun and bake,Apr 2012,Nov 22 2019,3,1,1.0
73,Adidas owning 5.10,1,19,they get wet from sweat and then thrown into the bottom of a pack and then 30lbs of gear gets loaded on top and then we wonder why my shoes are starting to delaminate,Apr 2012,Nov 22 2019,3,1,1.0
74,Adidas owning 5.10,1,19,take care of you shoes,Apr 2012,Nov 22 2019,3,1,1.0
75,Adidas owning 5.10,1,19,it’s like to new climber who’s shoes are blown out in the toe after a month and they complain that it’s a manufacturer defect when it’s clearly poor footwork,Apr 2012,Nov 22 2019,3,0,1.0
76,Adidas owning 5.10,1,19,i’ve never had a pair of five ten climbing shoes delam and i’ve been using them since five ten started,Apr 2012,Nov 22 2019,3,2,2.0
77,Adidas owning 5.10,1,19,i have had one pair of guide tennies start to delam but that was quickly fixed with a bit of super glue gel,Apr 2012,Nov 22 2019,3,0,0.0
78,Adidas owning 5.10,1,20,i'm old...53 to be exact~ and i have not had any issues with my multiple 5.10 shoes: spires~ pinks~ coyotes and gambits (and more that i can't remember),Jul 2015,Nov 22 2019,1,0,
79,Adidas owning 5.10,1,20,but they were all made in the usa and have all had many resoles,Jul 2015,Nov 22 2019,1,2,2.0
80,Adidas owning 5.10,1,20,the coyotes are about done~ the inside liner is all but gone and the leather is wearing through from the inside,Jul 2015,Nov 22 2019,1,0,0.0
81,Adidas owning 5.10,1,20,fantastic smearing shoe imo,Jul 2015,Nov 22 2019,1,2,2.0
82,Adidas owning 5.10,1,20,the highest quality shoe i've ever had is the boreal ballet gold~ they are just a really well made shoe,Jul 2015,Nov 22 2019,1,2,2.0
83,Adidas owning 5.10,1,20,lots of stitching and rubber~ in the right places~ to make the shoes super durable,Jul 2015,Nov 22 2019,1,2,2.0
84,Adidas owning 5.10,1,20,i go through a lot of laces~ because these are crack shoes,Jul 2015,Nov 22 2019,1,0,0.0
85,Adidas owning 5.10,1,20,i also own the boreal ninja~ which also are super well made,Jul 2015,Nov 22 2019,1,2,2.0
86,Adidas owning 5.10,1,20,la sportiva is more hit and miss,Jul 2015,Nov 22 2019,1,0,0.0
87,Adidas owning 5.10,1,20,my cobras only took two resoles before they were toast,Jul 2015,Nov 22 2019,1,1,0.0
88,Adidas owning 5.10,1,20,my mythos on the other hand have been resoled at least four times~ maybe 5,Jul 2015,Nov 22 2019,1,2,2.0
89,Adidas owning 5.10,1,20,my kaukulators were the same way....many many resoles before the leather ripped,Jul 2015,Nov 22 2019,1,2,2.0
90,Adidas owning 5.10,1,20,my first pair was orange~ i remember that~ long gone~ but lasted a few seasons,Jul 2015,Nov 22 2019,1,1,1.0
91,Adidas owning 5.10,1,20,only pair of scarpa i ever had was the helix~ not that great a shoe imo,Jul 2015,Nov 22 2019,1,0,0.0
92,Adidas owning 5.10,1,20,i don't climb much severely overhanging stuff~ or pockets~ so i don't really have a need for a super aggressive shoe~ so maybe my choice of shoes just last longer than others.,Jul 2015,Nov 22 2019,1,1,1.0
93,Adidas owning 5.10,2,0,strongly disagree,Apr 2007,Nov 22 2019,1,0,0.0
94,Adidas owning 5.10,2,0,i used to order 1-2 pairs of the same darn size of ansazi velcros  every year for years and years~ and got the same shoe every time~ from 2002ish? to 2012,Apr 2007,Nov 22 2019,1,1,
95,Adidas owning 5.10,2,0,i could take them out of the box~ throw them in the pack~ and wear them 1st time at a cliff~ always the very same shoe.,Apr 2007,Nov 22 2019,1,1,2.0
96,Adidas owning 5.10,2,1,i started using 5.10 in 1996,Feb 2012,Nov 22 2019,0,1,1.0
97,Adidas owning 5.10,2,1,before that i had a few pairs of boreals (vector/laser/ballet)~ scarpas (rockmaster)~ asolos (opera) and la sportivas (kendo/superx/ballerina/mythos),Feb 2012,Nov 22 2019,0,1,1.0
98,Adidas owning 5.10,2,1,in 5.10~ before adidas took over~ i used the razor (best shoe ever)~ vx~ ufo~ rocksox~ moccs~ and ansazi lace and velcro,Feb 2012,Nov 22 2019,0,1,1.0
99,Adidas owning 5.10,2,1,since 2011~ i've had several pairs of dragons~ various anasazis~ as well as a couple pairs of quantums~ hiangles and arrowheads,Feb 2012,Nov 22 2019,0,1,1.0
100,Adidas owning 5.10,2,1,before 2012 or so~ i had absolutely no issues with sizing in 5.10~ and i could find them in a store and actually try them on,Feb 2012,Nov 22 2019,0,2,2.0
101,Adidas owning 5.10,2,1,since about that time frame~ the sizing seems to be all over the place~ and since it seems like no store carries the brand any longer~ it is basically a complete lottery whether the pair i ordered will fit or not,Feb 2012,Nov 22 2019,0,0,0.0
102,Adidas owning 5.10,2,1,i have had size 7 fit perfectly~ but then i wasn't able to get an 8 on my feet at all~ and i have (somewhat) comfortably worn 5.10 anywhere from size 6.5 to 8.5,Feb 2012,Nov 22 2019,0,0,0.0
103,Adidas owning 5.10,2,1,this is really unfortunate~ and i have started to drift to sportiva as result,Feb 2012,Nov 22 2019,0,0,0.0
104,Adidas owning 5.10,2,1,though they don't fit quite as well~ the sizing is more consistent than 5.10~ and they have better rubber than boreal,Feb 2012,Nov 22 2019,0,2,2.0
105,Adidas owning 5.10,2,1,as for 5.10 quality issues~ i have had none outside of a pair of anasazi pinks literally splitting in apart at the heel after three days of use,Feb 2012,Nov 22 2019,0,0,0.0
106,Adidas owning 5.10,2,1,customer service was completely unresponsive when i tried to warranty them~ so that wasn't that great either,Feb 2012,Nov 22 2019,0,0,0.0
107,Adidas owning 5.10,2,1,i did have the same thing happen on a pair of vxs~ but that was after a resole~ and they were a super light weight shoe that 5.10 made for only 1 year in the late 90s.,Feb 2012,Nov 22 2019,0,0,0.0
108,Adidas owning 5.10,2,2,second this comment,Feb 2014,Nov 22 2019,0,1,1.0
109,Adidas owning 5.10,2,2,guide tennis were my favorite and only approach shoe,Feb 2014,Nov 22 2019,0,2,2.0
110,Adidas owning 5.10,2,2,my last purchase (maybe 2.5 years ago) the sole came off within the first season,Feb 2014,Nov 22 2019,0,0,0.0
111,Adidas owning 5.10,2,2,send them back~ got a new pair~ happened again,Feb 2014,Nov 22 2019,0,0,0.0
112,Adidas owning 5.10,2,2,i switched to sportivas as well and have been very  happy!,Feb 2014,Nov 22 2019,0,2,
113,Adidas owning 5.10,2,3,i know a few sponsored climbers and apparently a former rep who all feel that the rubber is not the same,May 2017,Nov 23 2019,1,0,0.0
114,Adidas owning 5.10,2,3,the new adidas factory has only been producing shoes for about the past 9 months and not all retailers have the new stock,May 2017,Nov 23 2019,1,0,0.0
115,Adidas owning 5.10,2,3,there is a very stark difference between the new and old hiangle construction,May 2017,Nov 23 2019,1,0,0.0
116,Adidas owning 5.10,2,3,you can tell if you have the new ones as the toe hook rubber is thinner and inside the shoe there is a horizontal seam near the midsole,May 2017,Nov 23 2019,1,0,0.0
117,Adidas owning 5.10,2,3,also~ the label is different,May 2017,Nov 23 2019,1,1,1.0
118,Adidas owning 5.10,2,3,i loved my old five tens so much that i stockpiled many of them,May 2017,Nov 23 2019,1,2,2.0
119,Adidas owning 5.10,2,3,the teams never changed nor did the old dragons,May 2017,Nov 23 2019,1,1,2.0
120,Adidas owning 5.10,2,3,the new hiangles feel uber stiff and insensitive and the heel fits differently (better for me~ doesn't bag out),May 2017,Nov 23 2019,1,2,2.0
121,Adidas owning 5.10,2,3,i loved that the hiangle had some stiffness~ but you could still microadjust and pull with the toes,May 2017,Nov 23 2019,1,2,2.0
122,Adidas owning 5.10,2,3,the newest ones i have feel a lot like an instinct vs or solution when new~ but both of those shoes break in quicker and better,May 2017,Nov 23 2019,1,2,2.0
123,Adidas owning 5.10,2,3,i don't feel that the rubber is as sticky,May 2017,Nov 23 2019,1,0,0.0
124,Adidas owning 5.10,2,3,the aleon is a love/hate,May 2017,Nov 23 2019,1,0,0.0
125,Adidas owning 5.10,2,3,most people i know like the heel for its fit~ but not for heel hooking,May 2017,Nov 23 2019,1,2,2.0
126,Adidas owning 5.10,2,3,the stretchiness of the upper means you have to really crank the velcro for it not to move during heel hooks~ but it won't pull off,May 2017,Nov 23 2019,1,0,2.0
127,Adidas owning 5.10,2,3,the main issue is the toebox can be love/hate,May 2017,Nov 23 2019,1,0,0.0
128,Adidas owning 5.10,2,3,it is one of the only toeboxes that pushes the big toe inwards and it is almost diamond shaped rather than a talon like the dragon or solution and for some it just never gets comfortable,May 2017,Nov 23 2019,1,0,0.0
129,Adidas owning 5.10,2,3,you can see my other posts about the dragons~ but almost no sponsored climbers are wearing the shoe and very few normal people i have met seem to like it,May 2017,Nov 23 2019,1,2,0.0
130,Adidas owning 5.10,2,3,while the build quality is higher~ the design isn't there,May 2017,Nov 23 2019,1,0,0.0
131,Adidas owning 5.10,2,3,they feel more like an evolv than a five ten,May 2017,Nov 23 2019,1,1,1.0
132,Adidas owning 5.10,2,3,let's be honest- no one ever bought five ten for durability,May 2017,Nov 23 2019,1,0,0.0
133,Adidas owning 5.10,2,3,they were designed to perform and be comfortable on granite for the most part and they don't do that very well anymore.,May 2017,Nov 23 2019,1,2,0.0
134,Adidas owning 5.10,2,4,i generally like 5.10 shoes and have owned many different pairs over the years~ but my experience with them lately (like last 6 months) has been awful,Feb 2013,Nov 25 2019,0,0,0.0
135,Adidas owning 5.10,2,4,i've sent at least 5 pairs of shoes back due to sizing issues,Feb 2013,Nov 25 2019,0,0,0.0
136,Adidas owning 5.10,2,4,and just to add insult to injury~ i got a pair of hiangles from the recent sale that fit but one of the shoes they sent has exposed stitching and is delaminating on the side,Feb 2013,Nov 25 2019,0,0,0.0
137,Adidas owning 5.10,2,4,i would've been done with them long ago but i'm trying to use a gift certificate..,Feb 2013,Nov 25 2019,0,0,0.0
138,Adidas owning 5.10,2,4,super frustrating.,Feb 2013,Nov 25 2019,0,1,0.0
139,Adidas owning 5.10,2,5,interesting to find this thread because i have been wondering about this,Jul 2018,Jul 6 2020,0,1,1.0
140,Adidas owning 5.10,2,5,have been using 5.10 products for over 30 years and they have always had quality and sizing issues,Jul 2018,Jul 6 2020,0,0,0.0
141,Adidas owning 5.10,2,5,they have also pretty much been the high-performance standard even with said issues,Jul 2018,Jul 6 2020,0,2,2.0
142,Adidas owning 5.10,2,5,sad to hear people think they are getting worse,Jul 2018,Jul 6 2020,0,0,0.0
143,Adidas owning 5.10,2,5,i found this thread while searching for 5.10's new website to buy some new shoes,Jul 2018,Jul 6 2020,0,1,1.0
144,Adidas owning 5.10,2,5,yikes.,Jul 2018,Jul 6 2020,0,1,
145,Adidas owning 5.10,2,6,pic up some acopa’s instead.,Aug 2009,Jul 6 2020,0,1,2.0
146,Adidas owning 5.10,2,7,been climbing in 5.10 shoes for about 10 years,Apr 2010,Jul 6 2020,0,2,2.0
147,Adidas owning 5.10,2,7,love my pinks~ quantums and mocs,Apr 2010,Jul 6 2020,0,2,2.0
148,Adidas owning 5.10,2,7,"i bought a pair of quantum velcros and loved them~ so i bought another pair~ which are 1/4"" smaller",Apr 2010,Jul 6 2020,0,2,2.0
149,Adidas owning 5.10,2,7,i haven't been able to break them in,Apr 2010,Jul 6 2020,0,0,0.0
150,Adidas owning 5.10,2,7,concerned about size issues~ too.,Apr 2010,Jul 6 2020,0,0,0.0
151,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,0,i was just thinking about this,May 2020,Jul 4 2020,0,1,1.0
152,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,0,a factor two falls puts a much higher shock on the climber and the anchor system than a factor one fall,May 2020,Jul 4 2020,0,1,1.0
153,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,0,"but a ""soft"" catch~ such as was required before modern climbing ropes were invented~ would reduce these forces to something safer",May 2020,Jul 4 2020,0,1,1.0
154,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,0,"a soft catch is tricky to practice~ however~ which is why in the pre-modern-rope era there was the saying~ ""the leader must not fall."" but~ what if there was a device like a grigri that had a ""soft catch"" mode that would gradually (but obviously very quickly) slow the fall~ thus reducing peak forces on the anchor to something safe? ideally this mode could be quickly shut off by flicking a switch in the device after pro is placed above the anchor",May 2020,Jul 4 2020,0,1,1.0
155,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,0,any thoughts on this?,May 2020,Jul 4 2020,0,1,1.0
156,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,1,1/10 soft catches are overrated in the outdoors unless you are climbing some bad ass overhang route.,Jun 2016,Jul 4 2020,59,1,1.0
157,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,2,is this a troll comment?,Aug 2008,Jul 4 2020,54,1,1.0
158,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,3,right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week,Mar 2014,Jul 4 2020,44,1,1.0
159,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,4,to get the precision required to do a soft catch correctly in different circumstances you need a computer,Jul 2019,Jul 4 2020,33,1,1.0
160,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,4,our brains are that computer,Jul 2019,Jul 4 2020,33,1,1.0
161,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,4,i think that building a purely mechanical device that could perform a soft catch and was also simple and reliable enough to use for everyday belaying would be very challenging,Jul 2019,Jul 4 2020,33,0,0.0
162,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,4,plus it would probably do the wrong thing most of the time.,Jul 2019,Jul 4 2020,33,0,0.0
163,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,5,right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week next week doesn't help much~ but if someone could spike me into next year~ that would be great,May 2015,Jul 4 2020,106,1,1.0
164,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,5,i think i have had enough of 2020.,May 2015,Jul 4 2020,106,1,1.0
165,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,6,even with our brains computing the forces there isn’t much you can do to soften a ff2 fall when using a grigri,Jan 2013,Jul 4 2020,1,1,1.0
166,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,6,the op had the idea that the soft catch feature could be turned off,Jan 2013,Jul 4 2020,1,1,1.0
167,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,6,you are only in  ff2 territory until the first clip is made~ then shift into normal belay mode,Jan 2013,Jul 4 2020,1,1,
168,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,6,i agree it would be a challenge to make the device but the concept is interesting.,Jan 2013,Jul 4 2020,1,1,
169,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,7,right~ because we all know that in less than overhanging terrain the best policy is to spike your climber into next week can you explain how spiking happens on a less than overhanging route?,Jul 2019,Jul 4 2020,7,1,1.0
170,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,8,better to just install autobelays on all outdoor routes and slowly lower everyone when they fall.,Jan 2016,Jul 4 2020,33,1,
171,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,9,thats what the rope is for,Sep 2010,Jul 4 2020,2,1,1.0
172,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,9,you can also modify your belay geometry to eliminate factor 2 fall,Sep 2010,Jul 4 2020,2,1,1.0
173,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,10,who is taking factor 2 falls routinely? who is even taking factor 1 falls routinely? most lead falls are like factor 0.5 or less~ unless you've done something really~ really wrong,Oct 2013,Jul 4 2020,18,1,1.0
174,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,10,what you're talking about could only happen in those first few feet between leaving an anchor and placing your first piece on a multipitch,Oct 2013,Jul 4 2020,18,1,1.0
175,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,10,and that's only if the multipitch is actually steep and vertical,Oct 2013,Jul 4 2020,18,1,1.0
176,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,10,the follower should be connected to the anchor with their rope~ which will help to absorb the shock.,Oct 2013,Jul 4 2020,18,1,
177,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,11,can you explain how spiking happens on a less than overhanging route? climber falls~ and the belayer~ a sadist~ sits back into their harness as hard they possibly can - just as the climber's weight comes onto the rope.,Mar 2014,Jul 4 2020,17,1,1.0
178,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,12,i don't think they can make it,May 2017,Jul 4 2020,0,1,1.0
179,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,12,it is either locked or open,May 2017,Jul 4 2020,0,1,1.0
180,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,12,any engineers out there?,May 2017,Jul 4 2020,0,1,1.0
181,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,13,trango cinch?,Aug 2016,Jul 4 2020,1,1,1.0
182,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,14,i think the answer is similar to the answer to the question “why aren’t yates screamer dogbones more popular?” the market doesn’t demand a supply,Jul 2010,Jul 4 2020,3,1,1.0
183,"Why not make a ""soft catch"" mode for Grigris for potential factor 2 falls?",1,14,as a moot/academic discussion~ though~ i’d be curious to hear your design constraints/requirements/ideas you would suggest for the device~ though..,Jul 2010,Jul 4 2020,3,1,1.0
