,Hi all~ I am in the market for a new plaquette style device,1
268,Completely agree! Although I don’t often drink coffee and don’t really understand its taste~ I like to drink coffee very early in the campsite,2
269,Gives a special charge of energy and an inexplicable feeling of joy,2
270,I usually just bring some blow...waaay easier,1
271,Sounds like you aren’t at all so maybe the Keurig type machine would work just fine.,2
272,Kettle and Chemex is classy looking and fun~ get a metal filter and you're set,1
273,Do not get a Keurig~ those things are terrible in the waste they generate and they make awful coffee.,1
274,Agreed,1
275,I've found that for me life in the backcountry is best when enjoyed in two distinct modes: Super Lux or Super Light,1
276,The in-between is a no-mans land,0
277,Heavy enough to be a pain but not enough luxury to really enjoy just hanging out,1
278,A decent french press will run you ~$20 and tends to be the gold standard.,2
279,I use an aeropress~ usually~ home and camping both,2
280,I like just knocking out the grounds and no washing,2
281,At home~ this goes into a separate compost container for my blueberry bushes,1
282,Win~ win~ win! I also have an ancient porcelain Melitta setup~ if I want lots of coffee,2
283,We've had an automatic drip type~ Mr,1
284,Coffee sorta thing in the past,1
285,Those are great to put on a timer~ and have coffee waiting for you in the morning! I'm not a coffee aficionado though~ so there's that,2
286,I buy coffee already ground~ or grind it at the store~ then keep it in the freezer,1
287,If it's just you~ and just now and then? Go with simple~ and the least waste~ if you like the results well enough,2
288,Keurig was the go to at the office~ so no one ever washed anything,2
289,Including the Keurig machine~ which got pretty ugly after awhile,0
290,If the results aren't to your liking? Go with what you actually enjoy,1
291,It's these little things that make up most of our lives~ after all,2
292,Best~ Helen,1
293,Oh~ I didn’t even expect such diverse opinions,1
294,Thanks actually,1
295,skik2000~ you're right~ I'm not a coffee nerd,1
296,Perhaps such stupid questions would not clog the thread here,0
297,:),2
298,During these months~ I use a cold brew coffee maker,1
299,Very smooth~ mellow~ and low acidity,2
300,Since it filters like a French press~ I actually filter the cold brew with Chemex filters before storing in jars.,2
301,I'm surprised nobody here has mentioned just doing cowboy coffee,2
302,Learn how to do it right and it's the best possible solution~ AND you don't need to carry anything extra besides the coffee,2
303,To me~ it's the simplest~ best-tasting system.,2
304,curious what you do with the wet grounds after you drink it?,1
305,Cowboy coffee will kill you,0
306,My only reservation about the minipresso is that it is difficult to get a shot close to hot enough,0
307,(Takes lots of preheating~ etc.),0
308,What am I missing~ Sven?,1
309,with a single prime~ mine measured 137.5 degrees in my mug this morning (I keep an insta-read on hand for tea),1
310,I agree that it's not as hot as I'd like - I prefer my espresso on the 'scalding' end of hot~ but it's fine as long as I don't let it sit out,0
311,I wonder if temp preference is a learned thing (I still don't know how Italians immediately shoot their espresso at the bar without wrecking their mouths) or an innate preference,1
312,This paper seems to suggest ~140 +/- 15 degrees,1
313,Don't tell my boss that I'm typing this instead of working,1
314,researchgate.net/publicatio…;,1
315,Sven~ It produces a surprisingly good shot,2
316,I guess the few times I’ve tried to use it in the backcountry I was disappointed by the temp if all,0
317,I’ve found the Starbucks instant coffee sleeves a better option,2
318,Lighter and as hot as you can make water,2
319,But not espresso~ of course,0
320,cowboy coffee or instant for simplicity,2
321,Otherwise~ I've always used a moka pot with preground coffee or a Flair Manual Espresso with manual grinder for car camping (yes I will I bring a stovetop frother and make a latte).,2
322,I'll chip in that I've really enjoyed my Handpresso Wild Hybrid,2
323,Got it for around $50 (the $130 retail is madness)~ and it produces a great cup of espresso with decent crema,2
324,If you get multiple baskets it's pretty easy to swap out for multiple servings (true 50ml shots),2
325,Portable with minimal mess or fuckery since it's essentially a bike pump,2
326,There's a bajillion belay devices available these days,2
327,Does one exist that can perform a double strand rappel~ belay in guide mode and provides braking assist? Note: this rules out the gri gri (yes~ I know about reepschnur's/biner blocks) and plaquette style devices.,1
328,Gigajul,1
329,Why rule out the grigri though?,1
330,Edelrid Gigajul,1
331,Mammut Smart Alpine too,1
332,I dont think  the assisted is worth it as much as it is a pain in the ass,0
333,Ruling out the gri gri since it's heavy and rules out two strand rappelling,0
334,How's belaying in guide mode with let's say a 9.6-9.8? More friction than an ATC-guide? Would it work in a simul-ling scenario? I sometimes use a gri-gri as a second when simul-ing,1
335,So do you recommend the device as a single device to bring up a multipitch?,1
336,So do you recommend the device as a single device to bring up a multipitch? Sort of,1
337,If the raps are minimal then yes,1
338,The problem is defeating the assisted mode when rappelling~ it will wear you down over time,0
339,I use it in the gym only and a reverso most everywhere outside (or grigri if partner is gonna hang),2
340,In simul you can use the guide mode off the hip (alpine grigri) I guess but depends on your teams preference,2
341,GriGriandastandardATCforrappelling Does that count as one?,1
342,grigri,1
343,I just started using a Gigajul and it does everything you're looking for,2
344,Assisted braking when belaying on double ropes is a bonus.,2
345,How well does a gigajul work with roughly 9.5 mm ropes? I’ve heard there is significantly more friction than a reverso/ATC Guide when in guide mode on similarly sized single ropes,0
346,Smart Alpine I rap with it in ATC mode - you simply reverse the device~ and no braking/locking to defeat,2
347,If I need it~ I add an autoblock,1
348,Belays smoother than an ATC guide in guide mode when using thicker ropes,2
349,Big difference,1
350,I'm hoping they'll release a Smart Alpine 2.0 - my partner uses the Smart 2.0 for lead belaying me and it is an upgrade in handling/smoothness and braking over the original Smart.,1
351,The mammut alpine smart is a great devise that does all that you are asking if you use it right,2
352,The climb tech alpine click up works for everything you want as well- I find it works really well but is a bit more fiddle to start out with,2
353,Alpine up or gigajul..,1
354,The Gigajul is pretty decent,2
355,I've tried it on an old 9.8 and it's not terrible,2
356,Wouldn't be my first choice of rope/device combo for a longer day~ but functional,0
357,Use a round stock biner,1
358,Rap in normal ATC mode,1
359,On a 9.0 it works fine~ pretty close to a reverso or maybe even a touch easier.,2
360,I have used a MegaJul for a couple years now~ and like it well enough,2
361,You can rap in non-assist mode to speed things up~ otherwise it is hard to lower smoothly,0
362,Good with 7.9mm to 10.5mm ropes,2
363,My trad rope is a 9.4mm Sterling~ and it works well.,2
364,If your interested~ me and my climbing partner both have grigris and when we rap down we just both hook on to opposite ends of the rope to counter weight the other person and shoot down that way,1
365,You set it up like a double strand and everything and it works great if you and your partner are approximately the same weight (40ish pound different between me and my partner),1
366,The Edelrid MegaJul checks all the boxes you're looking for~ but I just can't bring myself to recommend it for everyday use,0
367,I like it for alpine since I can give an assisted lead belay on twin/half ropes and it's super light,2
368,For sport climbing the smoothness is nowhere near as good as a grigri and it's a pain to let rope out once it's weighted,0
369,Belaying in guide mode on a thick rope is a pain and way less smooth than a BD ATC guide,0
370,I haven't used a GigaJul yet~ maybe those issues are resolved with the newer device.,0
371,Since 2012~ I've exclusively used the Alpine Up,2
372,With a minor work-around to start free-hanging rappels~ the locking feature is great,2
373,However~ I only use double 8.5 mil ropes~ and think that it would be too aggressive if you use thicker ones.,0
374,and if you don't think about the consequences~ sure its just that easy/safe,1
375,and if you don't think about the consequences~ sure its just that easy/safe As long as you have good knots tied in the bottom of your rope the worst thing that could happen is one person gets down quicker and has to lower the other person,1
376,Nash~ I like simul-rapping too~ but what you just said is simply not true,1
377,"There are several more possible failure modes - with failure here meaning ""death of one or both members of the party"".",0
378,So which has less drag for guide mode~ giga jul~ alpine up or mammut smart?,1
379,working off of the assumption that gear will not fail and both climbers are comfortable rapping and know what they are doing then it is safe to go down,2
380,It is not as safe as using a Joker or a figure 8 like I would do in a canyon~ but it is not meant to be because of the situation,0
381,I agree that people can die~ but that can happen using any device or any technique if the person using it doesn't know what they are doing,1
382,Cue simulrapping thread in 3~ 2~ 1 ...,1
383,Cut it out.,1
384,Can you share a picture of this setup? I tried something similar once~ but thought I set it up wrong because the amount of friction was so low it felt nearly impossible to control my descent,0
385,I've found the Gigajul performs different based strongly on the size of the locking carabiner you use,0
386,I'm sure it also varies based on the rope diameter~ but I haven't tested that as much,0
387,I think a lot of the variation that people report is just because they use a single size of carabiner,0
388,If you try a few different sizes~ you can dial in whatever performance characteristics you're looking for in a given situation (i.e,2
389,maybe use a thicker one for lead belaying for smoother feeding and a thinner one for rappelling to get the full locking effect),1
390,Why is it so hard to get a straightforward answer on the amount of guide mode friction for these?!!! How much worse are they than an ATC/Reverso/Pivot/Gri Gri with the ideal carabiner selected,0
391,Because it depends on the rope.,1
392,Thanks! I'm glad you chimed in because up until now~ I didn't realize it was impossible to compare the same rope on two different devices...,0
393,I haven't tried all of them~ but the MegaJul is more friction than the grigri with a Mammut Infinity or a Sterling Fusion Ion R  both about 9.4mm,0
394,Not enough to bother me~ and you save so much weight and can rap two ropes,2
395,I really only use guide mode when on bolted anchors~ else I use a re-direct.,1
396,I have all three devices,1
397,With a single strand of 8.7mm mammut serenity the order is mammut smart~ alpine up~ giga jul from easiest to hardest,2
398,Personally I am surprised~ I expected the alpine up to be the most difficult but the giga jul was much more difficult.,2
399,I haven't used a giga Jul or alpine up~ by my experience is that the mammut smart has the same amount of friction in guide mode as a bd atc-guide when both are in guide mode,1
400,The smart is a great device with the exception of the extra work involved in rappelling with it.,2
401,Difference in weight between a gri gri and an ATC is the same as an extra .3 c4 without the biner,1
402,"It's heavier~ but calling it ""heavy"" is disingenous since the weight difference is almost negligible",2
403,Gigajul is the most versatile option~ and lead belaying is just as nice as with a GriGri,2
404,I've started to use it recently and really like it~ although a GriGri is just as good for most use cases~ rappelling being the exception.,2
405,Got you,1
406,It depends on the carabiner you're using for the guide mode,1
407,Adjusting that will adjust the friction to your liking on either device,2
408,I recently weighted a bunch of different devices to compare,1
409,I think it hardly makes a difference,2
410,Except for the grigri~ each device needs two carabiners to belay from an anchor~ so I added that,2
411,You could argue that the second biner could be reused for something else though,2
412,Mammut Alpine series,1
413,I use a Grigri that I added a piece of cord too so it is always clipped to something,1
414,For long routes I’ll just go with a good old ATC but I’m always fearful of dropping it,2
415,Not the end of the world I know but a PITA for sure,1
416,Just like in skiing~ there is no such thing as a quiver of one! I've been taking up an Edelrid Gigajul and a Kong GiGi on multipitch lately~ and I've been pretty happy with that system,2
417,I like the Gigajul a tad bit better than the Mega Jul for rapping~ and it also feeds out easier while lead belaying with thicker ropes,2
418,While I love the smoothness of a Grigri while belaying in guide mode~ the Kong GiGi is so much lighter and takes up so much less space on a harness that I prefer taking that now,2
419,The Kong GiGi doesn't quite feed as smoothly as a Grigri~ but it's still pretty good (just be sure you know how to use one SAFELY: https://www.youtube.com/watch?v=MkkFmLoFcFc),0
420,The other nice thing about the GiGi is it doubles as another belay device in case for some reason I drop my Gigajul (although you can always use a Munter hitch in that scenario I guess),2
421,I NEVER use my Gigi or Mega Jul for belaying in guide mode,0
422,my arms get too worn out pulling the rope through! The one advantage a Grigri has over the Kong GiGi is the ability to quickly and safely lower while belaying in guide mode with just a simple redirect,2
423,I suppose if I was on a climb with a big roof and thought I might need to lower my second~ I'd take my Grigri,1
424,But otherwise I find it is just too heavy and cumbersome given its limited functionality,0
425,Regarding the Climbing Technology Alpine Up~ I really had high hopes for it,0
426,It excels in rappelling~ and I love it for that purpose,2
427,But at least with the rope sizes I use (around 9.2-10.2)~ it locks up too easily on lead belay and pulls like a bear in guide mode,0
